전시구분, 장소, 제목, 참여작가, 기간, 전시실
과거전시,과천,한국현대미술작가 시리즈 한정식 : 고요,한정식,2017.04.14-2017.08.06,6전시실
과거전시,과천,레슨 제로,국내외작가 18명,2017.03.31-2017.06.18,2전시실
과거전시,어린이미술관,미술관을 멋지게 즐기는 5가지 방법,,2017.03.31-2018.01.31,어린이미술관
과거전시,서울,신소장품 2013~16 삼라만상: 김환기에서 양푸둥까지,약 70명,2017.03.13-2017.08.13,1~4전시실
과거전시,과천,한국현대미술작가 시리즈 <송번수_50년의 무언극>,송번수,2017.03.10-2017.06.18,1전시실 및 중앙홀
과거전시,서울,≪미각의 미감≫,감동환. 바스 스티트겐. 스테파니 리틀러. 강주성. 고든 마타-클락. 김다움. 김종범. 김태범. 마르쉐@친구들. 보니 오라 셔크. 송전동. 아키타입. 안아라. Ab그룹(이혜연). 호르헤 마이네스 루비오,2016.12.05-2017.03.19,8전시실 외 기타 공간
과거전시,레지던시,《무인지대 No Man's Land》,리사 명주 키어리(호주). 막시모 코르발란-핀체이라(칠레). 엔리케 라미레즈(칠레). 이고르 비도르(브라질). 타일러 스테파니치(미국). 팀 브루커스(네덜란드). 파블로 로바토(브라질) ,2016.11.17-2016.12.04,창동레지던시
과거전시,덕수궁,유영국. 절대와 자유,유영국,2016.11.04-2017.03.01,제 1~4 전시실
과거전시,서울,<식물도감: 시적 증거와 플로라>,김지원. 신혜우. 이소요. 조혜진,2016.10.31-2017.03.19,교육동 3층 디지털아카이브
과거전시,서울,MMCA-현대차 l 뮤지엄 페스티벌: 마당 ,서울시향 첼로 앙상블. 장혜연(영상)+이병우(기타). 김세진(영상)+THSS(최태현. 민성식/사운드). 구영준(패션사진). 박승원(퍼포먼스). 산업예비군(김현준. 유화수. 이완/현장설치). 구민정(현장설치). 윤가림. 김주헌(현대무용가 겸 DJ). 하림(가수). 리 갬블(사운드). 다미라트(사운드). 트랜지스터헤드(사운드) 등 ,2016.10.26-2016.10.30,1층 로비. 미술관 마당. 종친부마당. 멀티프로젝트홀. 1층 주차장. 교육동 등 
과거전시,레지던시,2016 고양레지던시 《오픈스튜디오 12》,고재욱. 곽이브. 김남현. 김라연. 김신영. 김잔디. 김준. 심승욱. 연기백. 유화수. 윤지영. 이지양. 장서영. 최태훈. 최형욱. 황문정. Musquiqui Chihying. Eva Kietzmann. Marilyn Schneider. Damian Siqueiros. Daniel Stempfer. Takayuki Yamamoto,2016.10.21-2016.10.23,고양레지던시 입주 작가 개별 스튜디오 및 진시실. 중앙홀. 테라스 등
과거전시,서울,대한항공 박스 프로젝트 2016 <양지앙 그룹: 서예. 가장 원시적인 힘의 교류>,양지앙 그룹 / Yangjiang Group,2016.10.18-2017.08.27,서울박스
과거전시,서울,《보이드》,김희천. 오픈하우스서울(임진영. 염상훈. 성주은. 김형진. 최진이). 옵.신(서현석. 김성희. 슬기와 민). 장민승+정재일. 최춘웅,2016.10.12-2017.03.12,서울관 6전시실. 7전시실. 미디어랩. 기타 외부 공간 
과거전시,레지던시,창동레지던시 입주보고서 2016,김기수. 김은진. 백현진. 정지윤(2016년 창동레지던시 국내 입주 작가 4명),2016.10.07-2016.11.06,창동레지던시
과거전시,서울,올해의 작가상 2016,김을. 백승우. 함경아. 믹스라이스(양철모. 조지은),2016.08.31-2017.02.19,제1.2전시실
